author
A Fora
Abbas Samgani
Abe Tomoaki
Adam Liszkai
Adnan Topçu
Aed Art
Aidan Horn
Akihiro Sada
Alain V.
Alberto Guerrero
Aleksandar Pavic
Alessandro Zucchi
Alex Belyaev
Alex Cheung
Alex Last
Alexander Meindl
Alexandre Camsonne
Ali Hamdan
Amit Saxena
Andrea Cappalunga
Andrea Catera
Andrea Valle
Andreas Skorczyk
Andres Eduardo Garcia Marquez
Andrew Beck
André Amaral
Angelica Diaz
Aniss El Amrani
Anonymous
Anthony Mallet
Anton Statutov
Aravinth G
Aria Kang
Arnaud Pissot
Artem Vasiliev
Arthur Acker
Ayako Matsuzawa
Babu J
Bartłomiej Ekiert
Bastian Lüttig
Ben Blanco
Beni br
Benjamin BENABES
Benjamin Jeanjean
Bernhard Rohloff
Bharat Shah
Bishoy Medhat
Bo Hansen
Boris Brodski
Brian Lacy
Brian Rose
Brice Beaumesnil
Bruno Medeiros
Burt Culver
C S
Cacilda de Miranda Lira
Carcharodon C
Cedric VINCENT
Chaoqun Zou
Charles Atkinson
Charles L
Cheng-Hui PENG
Christian Dröge
Christian Kay
Christian S.
Christian Skjetne
Christof Egner
Christoph Graf
Christoph Holzer
Christophe Portier
Christopher Maximov
Clarice Pales
Colin 't Hart
Cristian Bazzucco
Crocodile Rat
César DJ Caësar 9114
Da Pon
Dane 03
Daniel Besnard
Daniel Jann
Daniel Koch
Daniel Müller
Dave Carlton
David Demelier
David Doležal
David Kowis
David Mackenzie
David Robinson
Davide Giacometti
Declan Lynch
Dhanasingh Krishnapandian
Diego Antunes
Diego Gonzalez
Dietrich Streifert
Dmitry Makurin 
Dmitry Nekrasov
Domingo Galdos
Donald Martin
Dotan Cohen
Ebrahim Mohammadi
Echedey López Romero
Eliana Monteleone
Eric Davis
Erik E
Ethan Hunt
Eugenia B.
Evgeniy Lev
Ewan Makepeace
Fabio Almeida
Fabrice Brito
Fabrizio Sebastiani
Felix Gliesche
Felix Schäfer
Fernando Hartmann
Filip Skřivánek
Gary Aitken
Gary Ge
Gaurav Bansal
Gayathri Jayakumar
Gco IT
Gerhard Neuhofer
Gernot Ploiner
Gerry Hawkins
Gilbert W
Go MAEDA
Gregor Schmidt
Guillaume Masclet
Gurvan Le Dromaguet
Gvm Gvm
Haihan Ji
Han Boetes
Harald Deischinger
Heiko Böhme
Hemant Patidar
Hendrik Jaeger
Hervé LE BARS
Hinako Tajima
Hirofumi Kadoya
Hiroyuki Arakawa
Hoang Tuong Tran
Holger Just
I Volendam
Igor M
Ilya Kabirov
Ilya Malahovskiy
Irina An
Irmgard Schwenteck
Isabelle gautherin
Itaru Tanaka
Ivan Cenov
J Ellis
J H
Jack Black
James H
James Robertson
Jan Kix
Jan Niggemann (redmine.org team member)
Jan S
Jean B
Jeff H
Jenda Benda
Jens Krämer
Jens Peter Kempkes
Jess Nielsen
Jesús M. Navarro
Jim McAleer
Jimmy Engelbrecht
Jimmy Gong
Joan J
Joe D
Joel SCHAAL
Johan Wasserfall
Johann Stein
John Simmons
Jon Schell
"Jonas Ineveld, van"
Jorge Garcia
Jorge Vaz
Jos Accapadi
Josh Sharpe
Josiah Ulfers
Jouri Mamaev
João Saleiro
Julian Jakobi
Julien Marion
Julián Maestri
Jun NAITOH
Jérôme Gallot
Kamil .
Karel Pičman
Kaung  KK
Ketki Vahalia
Kiran KR
Kirill Vasiliev
Ko Nagase
Krzysztof Gałązka
L. V. Lammert
Lars Erik Gullerud
Liane Hampe
Louis Deidda
Louis Nguyen
Lubomír Vrána
Luis Furtado
Luis Serrano Aranda
Luiz Moura
Luka Lüdicke
Luny Luny
Maciej Liżewski
Maciej Pankanin
Mandar W
Manuel Bernhardt
Mao H
Marc Mengel
Marcin Szewczyk
Marco Shima
Marian Banica
Marius BĂLTEANU
Martin G
Martin Jungowski
Martin von Wittich
Martina A.
Mary Cox
Mateusz Batok
Matias Fusaro
Mauryl Dovand
Maxim Krušina
Maxim Nikolaevich
Mehmet Aydemir
Mi Go Ka
Micael Broun
Michael Aram
Michael Gerz
Michael Heinze
Michael Koch
Michael Pirogov
Michael Ruder
Michael Sanders
Michal Kalwig
Mike Kokhanov
Mikhail Varabyou
Miodrag Milic
Mischa The Evil
Mitul Jagushte
Mizuki ISHIKAWA
Motohiro Takayama
Mr Ahlawat
Mursal Gurbanli
N G
Nick Fitzgerald
Nick Vanpraet
Nico Schuetze
Nicolas ESTIENNE
Nikos Kotronakis
Oleksandr Vasylenko
Olivier Jacquet
Optimal OP Grupo Innova
Oskar Schmidt
Paolo Sulprizio
Patrick P
